Block,Block_aov,Rep,Line,Ara,Treatment,Treatment2,Time,Red0,White0,Red1,White1,lnR.0.1.,lnW.0.1.,FitnessR.0.1.,FitnessW.0.1.,Fitness,LnFitness
2,2,1,m4,m,Mixed-Clones,Clone,0,26,445,22,478,4.438116101,4.676706636,0.948983215,1.053759417,0.948983215,-0.022741469
3,3,1,m4,m,Mixed-Clones,Clone,0,23,124,5,513,3.079113882,6.025164466,0.511042296,1.956785197,0.511042296,-0.291543154
1,1,2,m5,m,Mixed-Clones,Clone,0,119,267,63,346,3.969181419,4.864360303,0.815971921,1.225532368,0.815971921,-0.088324786
2,2,2,m5,m,Mixed-Clones,Clone,0,112,310,27,287,3.182508181,4.528080104,0.702838313,1.422802346,0.702838313,-0.153144572
3,3,2,m5,m,Mixed-Clones,Clone,0,149,218,35,182,3.156571942,4.42468181,0.71340089,1.401736407,0.71340089,-0.146666353
1,1,2,p5,p,Mixed-Clones,Clone,0,118,82,296,45,5.524845016,4.005113428,1.379447827,0.724927743,0.724927743,-0.139705279
2,2,2,p5,p,Mixed-Clones,Clone,0,304,103,344,54,4.728784142,3.959425244,1.194310752,0.83730302,0.83730302,-0.077117342
3,3,2,p5,p,Mixed-Clones,Clone,0,253,145,186,16,4.297527371,2.401025166,1.789871856,0.558699214,0.558699214,-0.252821939
1,1,2,m6,m,Mixed-Clones,Clone,0,64,183,34,414,3.972647627,5.421550007,0.732751265,1.364719581,0.732751265,-0.135043423
2,2,2,m6,m,Mixed-Clones,Clone,0,59,269,15,318,3.235682943,4.772510189,0.677983454,1.474962248,0.677983454,-0.168780905
3,3,2,m6,m,Mixed-Clones,Clone,0,61,131,12,188,2.979202972,4.966414826,0.599869942,1.667028018,0.599869942,-0.221942899
1,1,2,m1,m,Mixed-Populations,Population,0,128,313,25,258,2.972015747,4.41192658,0.673632186,1.484489638,0.673632186,-0.17157717
2,2,2,m1,m,Mixed-Populations,Population,0,123,311,17,294,2.626199175,4.548957041,0.577318966,1.732144723,0.577318966,-0.238584175
3,3,2,m1,m,Mixed-Populations,Population,0,152,190,28,180,2.913494175,4.551102965,0.640173206,1.562077248,0.640173206,-0.193702507
1,1,2,p2,p,Mixed-Populations,Population,0,254,113,342,48,4.902646656,3.748983378,1.307726965,0.764685616,0.764685616,-0.116517079
2,2,2,p2,p,Mixed-Populations,Population,0,367,108,281,31,4.338163007,3.357026163,1.292263687,0.773835874,0.773835874,-0.111351141
3,3,2,p2,p,Mixed-Populations,Population,0,249,109,174,42,4.246772589,3.651491922,1.163023958,0.859827515,0.859827515,-0.065588661
1,1,2,m4,m,Mixed-Populations,Population,0,40,228,6,378,2.708050201,5.110718753,0.529876585,1.88723191,0.529876585,-0.275825271
2,2,2,m4,m,Mixed-Populations,Population,0,16,382,16,304,4.605170186,4.376777279,1.052182895,0.95040511,1.052182895,0.022091237
3,3,2,m4,m,Mixed-Populations,Population,0,32,190,12,169,3.624340933,4.488044829,0.80755453,1.238306471,0.80755453,-0.092828142
1,1,2,m5,m,Mixed-Populations,Population,0,111,189,56,334,3.920991675,5.174564164,0.757743368,1.319708021,0.757743368,-0.120477856
2,2,2,m5,m,Mixed-Populations,Population,0,127,309,45,331,3.567645589,4.673947284,0.763304627,1.310092936,0.763304627,-0.117302105
