Rep,Line,Treatment,Treatment1,Treatment2,meanLnFitness,Time,Generation,meanLnFitnessMixed
1,m4,Population,Single,Population,-0.193057448,0,0,-0.193057448
1,m5,Population,Single,Population,-0.15273175,0,0,-0.15273175
1,p5,Population,Single,Population,-0.047245494,0,0,-0.047245494
1,m6,Population,Single,Population,-0.231224123,0,0,-0.231224123
2,m1,Population,Single,Population,-0.165345006,0,0,-0.165345006
2,p2,Population,Single,Population,-0.138608393,0,0,-0.138608393
2,m4,Population,Single,Population,-0.059969648,0,0,-0.059969648
2,m5,Population,Single,Population,-0.160225045,0,0,-0.160225045
2,p5,Population,Single,Population,-0.05777909,0,0,-0.05777909
2,m6,Population,Single,Population,-0.275361427,0,0,-0.275361427
3,m1,Population,Single,Population,-0.240278609,0,0,-0.240278609
3,p2,Population,Single,Population,-0.121791359,0,0,-0.121791359
3,m4,Population,Single,Population,-0.227576012,0,0,-0.227576012
3,m5,Population,Single,Population,-0.20667705,0,0,-0.20667705
3,p5,Population,Single,Population,-0.01187735,0,0,-0.01187735
3,m6,Population,Single,Population,-0.200521692,0,0,-0.200521692
1,m1,Population,Single,Population,0.016111493,75,500,0.016111493
1,p2,Population,Single,Population,0.02237051,75,500,0.02237051
1,m4,Population,Single,Population,-0.045928919,75,500,-0.045928919
1,m5,Population,Single,Population,0.006530491,75,500,0.006530491
1,p5,Population,Single,Population,-0.013361801,75,500,-0.013361801
1,m6,Population,Single,Population,-0.047800453,75,500,-0.047800453
2,m1,Population,Single,Population,0.009982745,75,500,0.009982745
2,p2,Population,Single,Population,-0.022072597,75,500,-0.022072597
2,m4,Population,Single,Population,-0.001548765,75,500,-0.001548765
2,m5,Population,Single,Population,-0.013403934,75,500,-0.013403934
2,p5,Population,Single,Population,-0.011327388,75,500,-0.011327388
2,m6,Population,Single,Population,-0.067526415,75,500,-0.067526415
3,m1,Population,Single,Population,0.015134762,75,500,0.015134762
3,p2,Population,Single,Population,0.060126507,75,500,0.060126507
3,m4,Population,Single,Population,0.01629317,75,500,0.01629317
3,m5,Population,Single,Population,-0.009240499,75,500,-0.009240499
3,p5,Population,Single,Population,-0.026024966,75,500,-0.026024966
3,m6,Population,Single,Population,-0.070398672,75,500,-0.070398672
1,m1,Population,Single,Population,0.014326317,300,2000,0.014326317
